pig_age_days,avg_weight,feed_quantity,number_of_feeding_per_day,feeding_time_1,feeding_time_2,feeding_time_3,pen_capacity,pen_status,growth_stage,feed_type,device_code,repeat_days
85,45.64,4.39,3,7:17 am,11:42 am,17:54 pm,6,active,hog grower,hog grower,auto_feeder_v2,everyday
69,37.39,2.54,3,5:29 am,12:36 pm,16:40 pm,10,inactive,hog starter,hog starter,auto_feeder_v2,everyday
103,55.68,4.23,3,5:27 am,11:05 am,18:51 pm,13,active,hog grower,hog grower,auto_feeder_v1,everyday
180,99.37,6.95,3,6:45 am,11:42 am,18:18 pm,6,inactive,hog finisher,hog finisher,auto_feeder_v1,everyday
93,50.58,3.92,3,5:50 am,11:07 am,18:26 pm,10,active,hog grower,hog grower,manual,everyday
90,48.23,4.59,3,6:03 am,12:07 pm,17:27 pm,17,inactive,hog grower,hog grower,auto_feeder_v1,everyday
71,39.61,2.52,3,6:24 am,12:10 pm,16:50 pm,5,active,hog starter,hog starter,manual,everyday
59,33.72,2.07,3,5:10 am,12:45 pm,18:27 pm,5,active,hog starter,hog starter,auto_feeder_v1,everyday
111,61.75,3.76,3,6:38 am,12:11 pm,16:36 pm,8,active,hog grower,hog grower,auto_feeder_v1,everyday
30,17.72,1.67,3,7:24 am,12:42 pm,18:58 pm,6,active,hog pre-starter,hog pre-starter,auto_feeder_v2,everyday
145,78.81,6.43,3,7:36 am,12:47 pm,16:56 pm,5,active,hog finisher,hog finisher,manual,everyday
144,78.68,5.91,3,7:05 am,12:56 pm,17:47 pm,20,inactive,hog finisher,hog finisher,auto_feeder_v2,everyday
81,44.59,4.11,3,6:36 am,12:13 pm,16:08 pm,11,active,hog grower,hog grower,auto_feeder_v2,everyday
101,55.42,4.46,3,7:14 am,12:19 pm,16:45 pm,10,active,hog grower,hog grower,manual,everyday
136,74.74,6.74,3,6:20 am,11:48 am,17:00 pm,6,active,hog finisher,hog finisher,auto_feeder_v1,everyday
39,22.32,1.47,3,6:35 am,11:39 am,16:51 pm,20,active,hog pre-starter,hog pre-starter,auto_feeder_v1,everyday
